# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: 
# Date Range: 
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:34:12.642357536Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
2024-06-28T15:34:12.642732038Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
2024-06-28T15:34:12.642829683Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
2024-06-28T15:34:12.642836790Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
2024-06-28T15:34:12.642933176Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.642944670Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.643133547Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.643665724Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.644252735Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.646555699Z,ESU4,5559.50,5559.75,4,720,5559.62,0.25
2024-06-28T15:34:12.708202423Z,ESU4,5559.50,5559.75,4,718,5559.62,0.25
2024-06-28T15:34:12.755316330Z,ESU4,5559.50,5559.75,4,663,5559.62,0.25
2024-06-28T15:34:12.776865880Z,ESU4,5559.50,5559.75,4,663,5559.62,0.25
2024-06-28T15:34:12.818049890Z,ESU4,5559.50,5559.75,4,663,5559.62,0.25
2024-06-28T15:34:12.859179777Z,ESU4,5559.50,5559.75,4,658,5559.62,0.25
2024-06-28T15:34:12.870645626Z,ESU4,5559.50,5559.75,4,658,5559.62,0.25
2024-06-28T15:34:12.870651960Z,ESU4,5559.50,5559.75,4,658,5559.62,0.25
2024-06-28T15:34:12.870657847Z,ESU4,5559.50,5559.75,4,658,5559.62,0.25
2024-06-28T15:34:12.870765221Z,ESU4,5559.50,5559.75,4,658,5559.62,0.25
2024-06-28T15:34:12.885571556Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
2024-06-28T15:34:12.885681203Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
2024-06-28T15:34:12.886518970Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
2024-06-28T15:34:12.912010300Z,ESU4,5559.50,5559.75,4,657,5559.62,0.25
